query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bahadurpur' AND local_body_id='300344';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Balesar Satta' AND local_body_id='299784';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bali' AND local_body_id='248785';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bamanwas' AND local_body_id='296936';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bansur' AND local_body_id='296923';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bap' AND local_body_id='301412';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bardod' AND local_body_id='299974';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bari' AND local_body_id='248712';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bari Sadri' AND local_body_id='248843';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Baroda Meo' AND local_body_id='300347';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Baseri' AND local_body_id='296931';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Basni' AND local_body_id='299976';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bassi' AND local_body_id='296925';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Baswa' AND local_body_id='301411';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bayana' AND local_body_id='248711';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Begun' AND local_body_id='248837';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Behror' AND local_body_id='248694';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhandarej' AND local_body_id='301435';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhawani Mandi' AND local_body_id='248867';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhim' AND local_body_id='301436';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhinder' AND local_body_id='248823';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhinmal' AND local_body_id='248768';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhopalgarh' AND local_body_id='296924';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bhusawar' AND local_body_id='248709';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bilara' AND local_body_id='248762';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bissau' AND local_body_id='248681';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bonli' AND local_body_id='299825';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Borawar' AND local_body_id='299534';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Chaksu' AND local_body_id='248737';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Chhabra' AND local_body_id='248860';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Chhapar' AND local_body_id='248679';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Chhoti Sadri' AND local_body_id='248842';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Chirawa' AND local_body_id='248687';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Chomu' AND local_body_id='248730';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Danta' AND local_body_id='299941';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Degana' AND local_body_id='277231';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Dei' AND local_body_id='301414';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Deogarh' AND local_body_id='248816';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Deshnoke' AND local_body_id='248668';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Dhariawad' AND local_body_id='299942';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Dhod' AND local_body_id='302255';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Dhorimanna' AND local_body_id='302257';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Didwana' AND local_body_id='248748';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Dooni' AND local_body_id='301439';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Falna' AND local_body_id='248784';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Fatehnagar' AND local_body_id='248821';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Fatehpur' AND local_body_id='248739';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Fhagi' AND local_body_id='301440';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Gajsinghpur' AND local_body_id='248654';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Gangapur' AND local_body_id='248811';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Gharsana' AND local_body_id='302263';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Goluwala' AND local_body_id='301442';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Gudhamalani' AND local_body_id='302204';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Gulabpura' AND local_body_id='248809';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Hameergarh' AND local_body_id='299936';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Hindoli' AND local_body_id='303112';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Indragarh' AND local_body_id='248802';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Itawa' AND local_body_id='263007';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Jahazpur' AND local_body_id='248813';; affectedRows: 1
