query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Mudki' AND local_body_id='253122';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Nadala' AND local_body_id='274218';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Nathana' AND local_body_id='260779';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Nihal Singh Wala' AND local_body_id='262988';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Norat Jamal Singh' AND local_body_id='277202';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Raja Sansi' AND local_body_id='248270';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Ramdas' AND local_body_id='248268';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Sardulgarh' AND local_body_id='248372';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Shahkot' AND local_body_id='248288';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Talwandi Sabo' AND local_body_id='253124';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Talwara' AND local_body_id='248305';; affectedRows: 1
